epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.820747,1.7,3.83134,1.92868,0.00971,0.5,0.05198,0.00999,3.10541,4.35302,4.48958,0,0,0
2,2.10407,2.00679,4.5403,3.11114,0.00917,0.5,0.05184,0.00992,3.05742,4.31039,4.50847,1.28753e-05,1.28753e-05,1.28753e-05
3,3.4198,1.40483,4.32727,1.83745,0.00926,0.5,0.08486,0.01744,3.0397,4.02573,4.5188,2.29212e-05,2.29212e-05,2.29212e-05
4,4.14624,1.58036,3.82787,1.46043,0.00943,0.5,0.10141,0.01588,3.01873,4.05794,4.52643,3.01376e-05,3.01376e-05,3.01376e-05
5,4.86564,1.58,3.95077,2.51395,0.00962,0.5,0.10145,0.01534,3.0404,3.90926,4.56088,3.45246e-05,3.45246e-05,3.45246e-05
6,5.54229,0.89787,3.66105,1.38124,0.00962,0.5,0.16745,0.02318,3.09154,3.93133,4.54818,3.60822e-05,3.60822e-05,3.60822e-05
7,6.25148,1.5702,4.22078,2.2552,0.00901,0.5,0.1673,0.02403,3.12142,3.99496,4.6359,3.48104e-05,3.48104e-05,3.48104e-05
8,7.36458,1.06473,3.63181,1.3503,0.00917,0.5,0.12609,0.02958,3.28861,3.88644,4.59717,3.07092e-05,3.07092e-05,3.07092e-05
9,8.11864,1.67678,4.15075,2.68742,0.00935,0.5,0.12613,0.02959,3.33523,3.92466,4.60916,2.37786e-05,2.37786e-05,2.37786e-05
10,8.86122,1.2367,3.97335,2.24268,0.00901,0.5,0.12605,0.02956,3.29612,3.94192,4.60725,1.40185e-05,1.40185e-05,1.40185e-05
1,0.642547,1.7,3.83134,1.92868,0.00971,0.5,0.05198,0.00999,3.10541,4.35302,4.48958,0,0,0
2,1.33564,2.00679,4.5403,3.11114,0.00917,0.5,0.05184,0.00992,3.05742,4.31039,4.50847,1.28753e-05,1.28753e-05,1.28753e-05
3,2.05038,1.40483,4.32727,1.83745,0.00926,0.5,0.08486,0.01744,3.0397,4.02573,4.5188,2.29212e-05,2.29212e-05,2.29212e-05
4,2.77015,1.58036,3.82787,1.46043,0.00943,0.5,0.10141,0.01588,3.01873,4.05794,4.52643,3.01376e-05,3.01376e-05,3.01376e-05
5,3.43606,1.58,3.95077,2.51395,0.00962,0.5,0.10145,0.01534,3.0404,3.90926,4.56088,3.45246e-05,3.45246e-05,3.45246e-05
6,4.10358,0.89787,3.66105,1.38124,0.00962,0.5,0.16745,0.02318,3.09154,3.93133,4.54818,3.60822e-05,3.60822e-05,3.60822e-05
7,4.75488,1.5702,4.22078,2.2552,0.00901,0.5,0.1673,0.02403,3.12142,3.99496,4.6359,3.48104e-05,3.48104e-05,3.48104e-05
8,5.46609,1.06473,3.63181,1.3503,0.00917,0.5,0.12609,0.02958,3.28861,3.88644,4.59717,3.07092e-05,3.07092e-05,3.07092e-05
9,6.16824,1.67678,4.15075,2.68742,0.00935,0.5,0.12613,0.02959,3.33523,3.92466,4.60916,2.37786e-05,2.37786e-05,2.37786e-05
10,6.86564,1.2367,3.97335,2.24268,0.00901,0.5,0.12605,0.02956,3.29612,3.94192,4.60725,1.40185e-05,1.40185e-05,1.40185e-05
1,4.05326,1.96247,3.93775,2.7113,0.01031,1,0.995,0.6965,1.25037,3.69524,1.7977,0,0,0
2,6.04084,1.90943,4.00047,2.56925,0.01053,1,0.995,0.6965,1.21885,3.69574,1.79014,1.28753e-05,1.28753e-05,1.28753e-05
3,7.82655,2.07027,4.15834,2.63903,0.01053,1,0.995,0.6965,1.19379,3.71157,1.75909,2.29212e-05,2.29212e-05,2.29212e-05
4,9.61099,2.08748,4.50211,2.57265,0.01099,1,0.995,0.6965,1.18099,3.68988,1.72411,3.01376e-05,3.01376e-05,3.01376e-05
5,10.9405,2.20826,4.19757,2.55429,0.01149,1,0.995,0.6965,1.16875,3.67111,1.68858,3.45246e-05,3.45246e-05,3.45246e-05
6,12.3206,1.78958,4.0345,2.64677,0.01099,1,0.995,0.6965,1.15992,3.61738,1.61212,3.60822e-05,3.60822e-05,3.60822e-05
7,13.6356,1.6824,3.96818,2.22965,0.01099,1,0.995,0.6965,1.10786,3.53024,1.56997,3.48104e-05,3.48104e-05,3.48104e-05
8,14.9999,1.53735,3.73092,2.11983,0.01163,1,0.995,0.6965,1.06173,3.52853,1.54167,3.07092e-05,3.07092e-05,3.07092e-05
9,16.334,1.83065,3.95722,2.59338,0.01205,1,0.995,0.6965,0.99181,3.606,1.51397,2.37786e-05,2.37786e-05,2.37786e-05
10,17.7065,1.68526,3.82324,2.39653,0.01235,1,0.995,0.6965,0.95377,3.63959,1.46946,1.40185e-05,1.40185e-05,1.40185e-05
1,6.53689,1.68446,4.05313,2.41171,0.01235,1,0.82833,0.44489,1.48132,4.32186,2.38155,0,0,0
2,12.57,2.07424,4.13197,2.70031,0.01242,1,0.995,0.59682,1.51245,4.10338,2.385,1.28753e-05,1.28753e-05,1.28753e-05
